company_id,name,sector_larridin,in_larridin,ticker,cik,gics_sector,in_sp500,match_method,ticker_dup,share_class_dup,n_pages,page_version,page_created_at,maturity_index,maturity_stage,assessed_at,adoption_score,adoption_label,adoption_confidence,adoption_n_evidence,adoption_n_missing_evidence,sub_deploymentBreadth,sub_hiringIntensity,sub_vendorFootprint,sub_governanceSignals,proficiency_score,proficiency_label,proficiency_confidence,proficiency_n_evidence,proficiency_n_missing_evidence,sub_workforceFluency,sub_enablementInfra,sub_leadershipDepth,sub_useSophistication,impact_score,impact_label,impact_confidence,impact_n_evidence,impact_n_missing_evidence,sub_quantifiedOutcomes,sub_financialLinkage,sub_repeatability,evidence_sec,evidence_news,evidence_corporate,evidence_blog,evidence_other,n_ai_apps_used,n_impact_metrics,n_initiatives,entry_price,entry_date,fwd_ret_1m,fwd_ret_2m,fwd_ret_3m,fwd_ret_4m,fwd_ret_latest,last_price_date
2c7142c3-375f-4a8a-b0a6-3052ddc0366b,3M,industrials,True,MMM,0000066740,Industrials,True,sp500_exact,False,False,1,1.0,2026-01-19T05:26:50.388701+00:00,4.0,leader,2026-01-19T00:00:00.000Z,4.0,Scaling,high,1.0,0.0,4.0,3.0,4.0,4.0,4.0,Strategic,high,1.0,0.0,3.0,4.0,4.0,4.0,4.0,Material,high,1.0,0.0,4.0,4.0,3.0,0.0,3.0,0.0,0.0,0.0,5.0,4.0,5.0,154.6229248046875,2026-01-20,0.061943472298647384,-0.08179373333722806,-0.005614322898369051,-0.03900716918600011,0.020870652284610713,2026-06-10
ee03d7bf-0eba-4792-9926-f05b8b4b3dd6,A. O. Smith,industrials,True,AOS,0000091142,Industrials,True,sp500_exact,False,False,1,1.0,2026-01-19T06:15:09.325178+00:00,2.6,explorer,2026-01-19T00:00:00.000Z,3.0,Deploying,medium,2.0,1.0,3.0,2.0,3.0,4.0,3.0,Committed,medium,2.0,1.0,2.0,3.0,4.0,3.0,2.0,Anecdotal,low,1.0,2.0,2.0,1.0,3.0,0.0,2.0,2.0,0.0,1.0,3.0,3.0,4.0,69.81590270996094,2026-01-20,0.10649290616998752,-0.080794806199602,-0.07680700607917679,-0.19860664130671157,-0.17368398334154744,2026-06-10
89d3e9cf-d173-4568-9022-d97729b680e5,AES Corporation,utilities,True,AES,0000874761,Utilities,True,sp500_exact,False,False,1,1.0,2026-01-19T06:19:42.277523+00:00,3.1,practitioner,2026-01-19T00:00:00.000Z,3.0,Deploying,high,2.0,1.0,3.0,2.0,4.0,3.0,2.0,Experimenting,medium,2.0,1.0,2.0,3.0,2.0,3.0,4.0,Material,high,3.0,0.0,4.0,4.0,3.0,0.0,3.0,3.0,0.0,1.0,5.0,5.0,5.0,13.443107604980469,2026-01-20,0.20215789876930668,0.03976356614444265,0.06327769627386837,0.08382675516383231,0.091265539737176,2026-06-10
1fcfcb0e-18f9-4acf-8441-e1e1a4d835f1,AMD,technology,True,AMD,0000002488,Information Technology,True,manual,True,False,4,4.0,2026-01-18T20:49:56.81094+00:00,4.0,leader,2026-01-18T00:00:00.000Z,4.0,Scaling,high,2.0,1.0,4.0,3.0,4.0,4.0,4.0,Strategic,high,2.0,1.0,3.0,4.0,5.0,4.0,4.0,Material,high,2.0,0.0,4.0,4.0,4.0,0.0,3.0,3.0,0.0,0.0,3.0,6.0,7.0,231.9199981689453,2026-01-20,-0.12310280819750685,-0.11491028849125295,0.20037089016204823,0.7853138628060368,0.9524020783060376,2026-06-10
7dc4ae61-bcb5-4577-8aa6-d5fc23785ea9,APA Corporation,energy,True,APA,0001841666,Energy,True,sp500_exact,False,False,1,1.0,2026-01-19T05:47:56.346272+00:00,2.7,explorer,2026-01-19T00:00:00.000Z,3.0,Deploying,high,1.0,1.0,4.0,1.0,4.0,3.0,2.0,Experimenting,medium,1.0,1.0,1.0,2.0,3.0,3.0,3.0,Quantified,high,1.0,1.0,3.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,4.0,24.944246292114258,2026-01-20,0.15804854714061478,0.5156578211800318,0.42326885772553835,0.6400575655134217,0.5246200690642409,2026-06-10
5cd0cbf6-07a8-41dd-af82-969f35b203ea,AT&T,communication-services,True,T,0000732717,Communication Services,True,sp500_exact,False,False,1,1.0,2026-01-19T05:45:12.029368+00:00,3.7,practitioner,2026-01-19T00:00:00.000Z,4.0,Scaling,high,3.0,1.0,4.0,3.0,4.0,4.0,3.0,Committed,medium,3.0,1.0,2.0,4.0,4.0,4.0,4.0,Material,high,4.0,0.0,4.0,4.0,4.0,0.0,5.0,5.0,0.0,0.0,4.0,6.0,6.0,23.20711326599121,2026-01-20,0.18891247961426827,0.18294241794606836,0.1423221804898427,0.07639408899870315,-0.0009528888748621123,2026-06-10
76a5b37c-4924-4d0c-9f29-0ca1f10f0d69,AbbVie,healthcare,True,ABBV,0001551152,Health Care,True,sp500_exact,False,False,3,3.0,2026-01-18T20:53:06.936063+00:00,3.6,practitioner,2026-01-18T00:00:00.000Z,4.0,Scaling,high,2.0,1.0,4.0,4.0,4.0,4.0,4.0,Strategic,high,2.0,1.0,4.0,4.0,4.0,4.0,3.0,Quantified,medium,2.0,2.0,3.0,3.0,3.0,0.0,1.0,5.0,0.0,0.0,3.0,3.0,5.0,212.27890014648438,2026-01-20,0.04816858360929599,-0.03648851954907706,-0.018366852574520642,0.006977115291861402,0.06275284989623997,2026-06-10
6abebb2d-a379-4252-bd7e-73d0fc962296,Abbott Laboratories,healthcare,True,ABT,0000001800,Health Care,True,sp500_exact,False,False,1,1.0,2026-01-19T06:07:03.768253+00:00,3.0,practitioner,2026-01-19T06:05:48.000Z,3.0,Deploying,high,2.0,1.0,3.0,2.0,4.0,4.0,3.0,Committed,medium,2.0,1.0,2.0,3.0,4.0,3.0,3.0,Quantified,medium,1.0,1.0,3.0,2.0,3.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,5.0,120.38475036621094,2026-01-20,-0.07388147717197524,-0.11515602630573285,-0.19582839799810758,-0.2621989128636859,-0.2620743174344242,2026-06-10
a3964bb1-67c7-4c4d-a888-24f3955c92c8,Accenture,technology,True,ACN,0001467373,Information Technology,True,sp500_exact,False,False,1,1.0,2026-01-19T08:38:12.011895+00:00,5.0,transformer,2026-01-19T00:00:00.000Z,5.0,AI-First,high,3.0,0.0,5.0,5.0,5.0,5.0,5.0,Visionary,high,3.0,0.0,5.0,5.0,5.0,5.0,5.0,Transformative,high,3.0,0.0,5.0,5.0,5.0,3.0,3.0,2.0,0.0,1.0,5.0,5.0,5.0,270.4167785644531,2026-01-20,-0.21180012407153714,-0.25360271851413896,-0.269091234110035,-0.3461944040960535,-0.3712853163468708,2026-06-10
e0ef13e3-5f2e-48d4-8ea2-c1d083bfceac,Adobe Inc.,technology,True,ADBE,0000796343,Information Technology,True,sp500_exact,False,False,3,3.0,2026-01-18T20:49:31.694921+00:00,5.0,transformer,2026-01-18T00:00:00.000Z,5.0,AI-First,high,2.0,0.0,5.0,4.0,5.0,5.0,5.0,Visionary,high,2.0,0.0,4.0,5.0,5.0,5.0,5.0,Transformative,high,3.0,0.0,5.0,5.0,5.0,1.0,3.0,3.0,0.0,0.0,4.0,7.0,5.0,290.3699951171875,2026-01-20,-0.10731137578293459,-0.15283944749908673,-0.15814305520931293,-0.12184450948433834,-0.19482037750697756,2026-06-10
